Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
1965,0,0,0,12.81111111,42.04166667,8.59457,1365.32711,885.7195478,0
1966,0,0,0,12.6,56.15833333,8.38523,1299.4199,948.9158364,0
1967,0,0,0,13.56944444,64.65833333,14.10719,1213.83473,1019.778536,0
1968,0,0,0,10.33888889,72.75,31.85457,1214.7535,1079.495865,0
1969,0,0,0,9.044444444,80.90277778,62.06931,1184.0503,1160.340201,0
1970,0,0,0,12.6,72.25555556,118.2771,1116.75912,1228.784459,0
1971,0,0,0,9.369444444,76.52222222,190.70874,989.713,1235.286071,0
1972,0,0,0,9.369444444,81.60555556,270.6301,866.92346,1309.810493,0
1973,0,0,0,10.66111111,77.76944444,292.80851,938.98294,1344.500859,0
1974,0,0,0,11.30833333,93.38055556,350.22582,826.6604,1248.866293,0
1975,0,0,0,10.66111111,84.27222222,366.97302,831.60315,1092.239569,0
1976,0,0,0,12.6,100.4305556,389.24447,846.26858,1085.84213,0
1977,0,0,0,10.98333333,111.1694444,413.71399,849.04815,1094.934333,0
1978,0,0,0,11.30833333,103.4,429.13537,827.13723,1123.258701,0
1979,0,0,0,11.95277778,106.4111111,470.16601,889.1135,1133.335886,0
1980,0,0,0,10.98333333,102.8416667,468.77041,826.48595,969.1239622,0
1981,0,0,0,12.275,105.4694444,475.12039,821.99677,897.2700806,0
1982,0,0,0,12.6,122.1444444,472.74787,766.63797,907.5991439,0
1983,0,0,0,12.6,138.6888889,492.78636,773.76716,872.7711389,0
1984,0,0.002805556,0,12.6,149.9416667,504.17213,549.81988,1072.84225,0
1985,0,0.002805556,0,10.98388889,169.7083333,542.22549,731.28277,932.1647258,0
1986,0,0.002805556,0,13.24527778,164.1083333,551.25037,789.77004,934.2948375,0
1987,0,0,0,11.63,153.4388889,566.16003,809.08747,908.5694228,0
1988,0,0.002805556,0,13.56833333,176.2666667,539.2831,785.39716,966.5029864,0
1989,0,0,0.025,13.24527778,199.2611111,527.02508,755.99652,987.9981014,0
1990,0,0,0.025,14.21444444,182.6361111,548.73829,755.31035,1000.721128,0.5958
1991,0,0,0.025,12.59916667,195.9527778,592.76947,756.58965,996.0562975,0.6879
1992,0,0,0.091666667,14.86055556,213.3527778,589.92012,711.38384,1007.18344,0.9342
1993,0,0,0.602777778,11.95305556,248.2027778,672.27215,619.48358,1012.2387,1.198
1994,0,0,0.955555556,14.21444444,245.2277778,692.25249,578.40642,1001.666524,1.5185
1995,0,0,1.088888889,12.92222222,247.1222222,738.08632,551.91328,989.9536256,1.6416
1996,0,0,1.355555556,9.433222222,262.975,859.84079,515.97658,1014.601604,1.8046
1997,0,0,1.852777778,12.2115,272.6277778,884.18238,460.17584,985.4432414,2.1098
1998,0,0,2.436111111,14.21559556,276.3498589,919.4049,448.691215,981.5729825,2.6542
1999,0,0.002777778,2.361111111,14.82110361,264.2581761,978.8769,398.9171411,967.8680947,3.4291
2000,0,0.002777778,2.627777778,14.12707056,236.2854603,1013.4171,427.1478031,954.7718447,3.8818
2001,0,0.005527778,2.663149444,11.18977583,248.6323972,1008.5319,452.5453969,952.4945628,4.526
2002,0.01808831,0.008222222,3.452096667,13.12697361,240.8745883,995.3415,415.3084631,946.0874978,5.0801
2003,0.189927256,0.008166667,3.508974444,8.793414722,241.6132244,998.0918119,443.1483569,953.2292525,6.1737
2004,0.171838946,0.010833333,5.248885278,13.113985,216.5580886,1019.879073,425.8915108,978.7831669,7.3639
2005,0.810122993,0.021527778,7.832911389,13.24197806,219.5423653,993.8657189,435.3024825,1012.807526,9.1023
2006,2.063208286,0.0294025,11.32264139,12.27797417,201.6762842,942.6023742,476.0428661,1003.916244,9.2769
2007,4.0259409,0.0371875,14.00857778,13.48658972,167.4190353,953.0051433,446.4471714,971.6064081,9.324501165
2008,9.239789136,0.044875833,18.73497194,13.57145444,138.5494942,978.3252628,414.2036686,949.1446447,9.649277516
2009,11.45297156,0.052469722,24.34822778,13.71515028,181.2748117,912.2370239,346.4878044,902.0942769,10.71494767
2010,13.31599587,0.105016944,26.81839833,9.364016667,162.0206206,984.9284297,359.6903733,888.1878239,12.26296841
2011,12.32739835,0.631445,41.36744917,14.74996222,178.7603103,819.185075,365.7516417,873.2794586,13.3137937
2012,10.3651439,3.486966944,51.12136972,13.67487306,181.34639,768.9873894,453.0820669,848.0813056,14.73799683
2013,11.84774556,5.146755278,72.70355111,12.03699583,180.7706192,763.257545,429.9972692,833.9728069,18.10489047
2014,13.53525389,10.31722472,81.33340694,14.98404667,162.2328175,700.5550747,346.0422764,833.063105,22.62124617
2015,10.81864833,19.05635278,101.8854517,15.93059,177.9558533,720.4545756,268.3527133,856.3463781,29.25897646
2016,10.96270222,26.17378389,93.44825278,13.50590806,180.3762381,806.7364056,128.8934292,884.2519158,30.06553449
2017,10.82657278,28.688635,124.1028031,14.70467528,175.8410656,785.491155,105.3450053,885.6477469,31.89837269
2018,14.91691722,31.65258444,141.4339122,13.53004111,161.7083964,795.4000431,88.17528722,873.7699978,34.96327353
2019,19.07088556,31.98793833,159.3070008,14.69584972,139.1235814,773.0331725,60.42913111,856.3218747,37.32772687
2020,18.28703278,31.58151861,186.5385233,15.98397833,124.0426086,724.9546956,53.769135,662.7650761,39.40816978