Year,UK,Germany,USA,China,India
1970,47.9,,,,
1971,52.2,,,,
1972,52,,,,
1973,50.5,,,,
1974,52.2,,,,
1975,44.8,,,,
1976,40,,,,
1977,25.9,,,,
1978,21.6,,,,
1979,12.6,,,,
1980,6.4,,,,
1981,-6,,,,
1982,-11.1,,,,
1983,-18,,,,
1984,-11.1,,,,
1985,-15.7,,,,
1986,-16.7,,,,
1987,-15.7,,,,
1988,-8.9,,,,
1989,3.4,,,,
1990,2.2,,,,
1991,4.9,,,,
1992,3.7,,,,
1993,-0.2,,,,
1994,-13.7,,,,
1995,-16.9,,,,
1996,-14.8,,,,
1997,-15.6,,,,
1998,-16.4,61,23.4,-0.1,17.2
1999,-20.9,59.2,24.3,2.3,20.1
2000,-17.2,59.4,25.2,0.5,20.4
2001,-9.6,60.9,27.4,-0.7,20.1
2002,-12.8,60.1,26.4,1.5,20.4
2003,-6.8,60.5,27.6,3.1,19.7
2004,4.5,60.9,29.1,4.9,21.4
2005,13.5,60.4,30.2,6.1,22.1
2006,21.3,60.8,30.1,7.9,23.5
2007,20.6,58.4,29.1,8.4,25
2008,26.3,60.8,26.3,8.4,25.8
2009,27,61,24.2,10.4,27.5
2010,28.6,60.1,22.2,11.4,28.3
2011,36.7,61.8,19,11.9,29.4
2012,43.1,61.2,16.7,14.4,31.5
2013,47.1,62.4,13.2,14.8,32.5
2014,46.2,61.8,11.2,15,34.3
2015,38,62.1,11.2,,
2016,36.4,63.8,11.6,,
2017,36.3,64,7.7,,
2018,36.3,63.5,3.6,,
2019,34.8,67.1,-0.6,,
2020,27.8,63.7,-3.7,,